2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065
1,1.0103973871997767,1.0203689548149517,1.0304472286854991,1.0401107057615431,1.050067364174915,1.0595590260661822,1.0690247028435191,1.0783522328347539,1.0873452369548771,1.0963086035384944,1.1050899097587743,1.113614719647297,1.1219894940230299,1.1301171106821526,1.1381895079717865,1.1459608841603897,1.153645138439831,1.1611794484108009,1.1686140532219824,1.175933429150481,1.1830359323372919,1.1901008601907195,1.1973119999793576,1.203276760634878,1.210194589149302,1.2167762088698613,1.2234198495445252,1.2299968677671724,1.2365101187857459,1.2423503017666049,1.2492352480202378,1.2547411091490941,1.2600981632204136,1.2663676689072541,1.2713368959151592,1.2760917712675786,1.2817714734828116,1.287333414727075,1.2927040698244177,1.2969590326252329,1.3022045713647492,1.3072818685070677,1.3112701646645231,1.316170095705897,1.3199454544201898,1.3246328783741217,1.3292895175159627,1.332854432468104,1.3373211941315419,1.3417176634082884
1,1.0102175622400817,1.0204858469868445,1.0302673036944163,1.0402318214403286,1.049954090592583,1.0595368236681799,1.0689978899440187,1.0783005540628277,1.0875652321405949,1.0962521196906703,1.1051027874962842,1.1136209189424833,1.1220323440699718,1.1302794067379556,1.1382128298959224,1.1461208381702559,1.1537510659797405,1.1612763032464515,1.1685764882767793,1.1759520388694058,1.1830646624288628,1.1898056859625936,1.1969238563400761,1.2036666170789323,1.2100528963962358,1.2168346943318791,1.2234078215618107,1.2297817631181074,1.2354771068899879,1.2425686765427073,1.248269252566242,1.2548614604180266,1.2602327691657262,1.2654547528950919,1.2713666626110318,1.2770555506801229,1.2815263601675526,1.2879247625063459,1.2921259563108154,1.2973207506603808,1.3024875751773313,1.3065026930505641,1.3114797623779011,1.3164158705835698,1.3202320277353183,1.3239706994626663,1.3287654440506378,1.3325017858772024,1.3380129304657606,1.3413768850363847
1,1.0099890530925013,1.0200942336044869,1.0302336988657743,1.0400817729062002,1.0499242951754559,1.0594501322723362,1.0688547253227874,1.0781576199443632,1.087198419850177,1.0961286243081754,1.1049777833232821,1.113537275834108,1.1218379710801323,1.1300507349194375,1.1380289306475599,1.145936325884912,1.1535376630918031,1.1611673105001006,1.168887980840172,1.1762729483705092,1.1825638846671351,1.1904476813397,1.1969509104992975,1.2030929084322748,1.2103395484178401,1.2175885421729691,1.2241452379027615,1.2293049926186019,1.236476717341942,1.2424077104928166,1.2480331319976767,1.254592321258988,1.2599715099715099,1.2661591537650045,1.2720786904537853,1.2767120713147699,1.2822579454703806,1.287740963416639,1.2920792791016293,1.2963064350964708,1.302318871939125,1.3072807850585628,1.3111666060911602,1.3158995977424159,1.3195879434165914,1.324064175156167,1.3293506958428425,1.3336209996404171,1.3377983518828589,1.3410052523415412
1,1.0102036038174405,1.0203398228198113,1.0304041599771996,1.0401063503425707,1.0498729299066043,1.0594405885342899,1.0689918685733459,1.0783259492839856,1.0874393209210051,1.0962556770284291,1.1050305352513479,1.113668096877112,1.1219508231953426,1.1301122932502625,1.138150313895588,1.1460367083874741,1.1537245178833577,1.1612488169966855,1.1686161993094979,1.1756742579855382,1.18273016597563,1.1897421346670038,1.1963779770135017,1.2043175853018373,1.2100344923698698,1.2167681934380925,1.2238530718919267,1.2306547911735848,1.2361808668696186,1.2424792650918635,1.2486516391333435,1.2545866141732283,1.2602976278908533,1.2657971225818994,1.2710966356478168,1.2771191083244684,1.2819613289730212,1.2873902145542058,1.2917143676153109,1.2976628216284285,1.3024772743952944,1.3071228999600857,1.3116143869638444,1.315965201930404,1.3201877378818696,1.3242514855376579,1.3291679674401931,1.3331009490459538,1.336942257217848,1.3414977641683681
1,1.0101309132678542,1.0202141231610862,1.0301351425396865,1.0400125105679907,1.0498843166388363,1.0595921513119855,1.0689522714858599,1.0782120119202097,1.0873030249907478,1.0963795479328327,1.105025631159795,1.113549851281876,1.1218044534995792,1.1301473391905896,1.1381004404108905,1.1458728322979654,1.1535732029192158,1.1610963326518822,1.1681572823201265,1.1752842531370518,1.1834455064081215,1.1897931151935195,1.1970059413829761,1.2042546043813083,1.2107588830639291,1.2169769098729868,1.2230605755222883,1.2299623704408935,1.2356268447186438,1.2420831203541629,1.2492809150714459,1.2542899269799663,1.260152083964905,1.2656803705727091,1.2710661902068057,1.2770712813208804,1.2819483759170933,1.2874543128882212,1.2918983309318941,1.2969764083787676,1.3017774704271265,1.3064308074893822,1.3108968357985398,1.3152345299608825,1.320197330424816,1.3242493033992941,1.3281939393413358,1.3327613524223778,1.3372156863851594,1.3408219371522123
1,1.0099045826619333,1.0201704643117204,1.0301835035700373,1.0400932623552002,1.0498143428354116,1.0593391659627343,1.0687168458013787,1.0779728459576288,1.0872605337929433,1.0960280702067948,1.1048200950652207,1.1133495505575832,1.1217425334471074,1.1300095589096455,1.1380244537126154,1.1458341206004476,1.1535241234497435,1.1603908282569075,1.1682965419894975,1.1751023951125363,1.1829104720585972,1.1895379699870245,1.1965817358126307,1.20377554452502,1.2104469814547176,1.2166725448222684,1.2237392722087064,1.2295472882146117,1.2361688336637429,1.2425130368951094,1.2485969651221118,1.2545336753171581,1.2602284113791666,1.2656956717582573,1.2717275472994667,1.2766200601469584,1.2821766179547829,1.2875477194044516,1.2919268864085451,1.2970217382260956,1.3019487303742452,1.306766079834327,1.3114242720261113,1.3159310662128232,1.319499802482933,1.3244821373161144,1.3286814831183129,1.332739329225002,1.3373209907451569,1.340878170945665
1,1.010113755832214,1.0203297397456415,1.0302413117164675,1.040086161137511,1.0498363396535719,1.0594762190388822,1.0688726048535313,1.0782478594594413,1.0873078400604235,1.0962518624310642,1.1049315444451897,1.1135131992196396,1.1218899491310281,1.130119479158745,1.1380929615440125,1.1458499758755016,1.1539954482072483,1.1611933591843171,1.1685595358715561,1.1757215760740565,1.1827745680795512,1.1899138720287545,1.1964205707929347,1.2041948082774097,1.2107959969401754,1.2170952384874516,1.2241847525218872,1.2300365377842399,1.2366541537833995,1.2420899767496107,1.2492478982551241,1.2552340782354117,1.2601122152393152,1.2665295163168158,1.2709623154498733,1.2768961707482622,1.2817326260685455,1.2872887512729649,1.2926264701262875,1.2970008184989918,1.3019501493903261,1.3066688302343408,1.3112206626949208,1.3155737530545182,1.3197072087795478,1.3244118448167235,1.3289478145875013,1.3326755784432869,1.3376484417981496,1.3411300042431451
1,1.0101701500177487,1.0202490748915229,1.030258855350948,1.0401606523518179,1.0499237811858777,1.059387931988147,1.0688908669287649,1.0781075660744182,1.0872985648001863,1.0962457674362491,1.1050336960026299,1.1136174008512534,1.1217838834646634,1.1301882050569889,1.1381752608456341,1.1459432398927112,1.1536423306168737,1.1612192832073416,1.1685364881452018,1.1752562543096436,1.1825302059143066,1.1895273182571366,1.1973811034381787,1.2037278127769662,1.2104352708788999,1.2165469973890339,1.2241295640643581,1.2292271316352716,1.2363796075384748,1.2422833137112645,1.2480032845568092,1.2535479659732165,1.2610312278182039,1.2662214189179519,1.2712594284885408,1.2761518529916906,1.2818658319932466,1.2873513199883959,1.2927003730224369,1.2969808937610166,1.3020796475009593,1.3070562323704593,1.3110020331739862,1.3148502059163951,1.3195001206152797,1.3249336730396697,1.3284850155513714,1.333702734137781,1.3370039079609,1.3419330239229135
1,1.0102577278415292,1.0203325344517675,1.0303514816489514,1.0402379351561333,1.049876480140123,1.0594331089983262,1.0688955815152235,1.0781562143284997,1.0872784524425556,1.0963603080892153,1.1050253688236671,1.1136420062220198,1.1218459329484771,1.1302445114076622,1.1381429529451212,1.1460456610229486,1.1536475888684323,1.1611374362520528,1.1682895170490555,1.1757177843048028,1.1827118602860731,1.1903850250377552,1.1969450677886861,1.203373653243677,1.210482049743032,1.2173662702941501,1.2238602329450914,1.230262148337596,1.2364379928815687,1.2423995336716498,1.2491260498532735,1.2546791364043377,1.2609949079514295,1.2651518849142638,1.2711101976284584,1.2768078541374472,1.2814388356669124,1.2868299624560977,1.2930279503105591,1.2972370551352623,1.3022563417890518,1.3071368463233821,1.311884246188594,1.3156610811111729,1.3201664423631518,1.3245127342754075,1.3287898907689011,1.3337686448746429,1.3377921195652174,1.3408943509243003
1,1.0102400053035476,1.0203503049861877,1.0302088250620245,1.04011242856765,1.0498449070575111,1.0595262329208552,1.0689412815652215,1.0782553048549659,1.0874444686971756,1.0962768789557908,1.1050905922408267,1.1135240401574706,1.1218850114066168,1.1301872705368907,1.1382286473835039,1.1459355097799868,1.1536697559918976,1.160855977172909,1.1685547027076622,1.1763133020565912,1.1828982195095641,1.1902778658972228,1.1966601902733005,1.2039462963424854,1.210826753348466,1.2166251624079687,1.223210801084218,1.2305575963094597,1.235567956731175,1.2424645074624641,1.2481771995869007,1.2546488102868378,1.2599790002344415,1.2660648946046897,1.2718806404694372,1.2764591867886885,1.2818167992395209,1.2870403783003392,1.2921348915779114,1.297105064192438,1.3020146125138639,1.3068008542680627,1.3106128857922019,1.3160694871703282,1.3205535205198817,1.3240931728977767,1.3292636754083877,1.3334857700440816,1.337627664998273,1.3407705871434759
